sample_id,form,feature,feature_value,conc_mg_ml,amount_mg_per_gDW
3D,total,centroid_nm,393.34483368478334,0.0866608305645461,1.255954066152843
3E,total,centroid_nm,397.4089709275817,0.0440031109958431,0.5500388874480391
3H,total,centroid_nm,388.52504537465046,0.0470099178011421,0.9040368807911956
4A,total,centroid_nm,395.8433495380328,0.0364031724519937,0.5200453207427675
4B,total,centroid_nm,391.1350329902522,0.0615464226440267,0.8668510231553068
4F,total,centroid_nm,394.6296556094891,0.0647046513747725,0.8088081421846567
4G,total,centroid_nm,394.31714514909834,0.0643152807093381,1.0373432372473892
4H,total,centroid_nm,392.6080186671291,0.0395614011827395,0.5651628740391357
5B,total,centroid_nm,394.81567277523874,0.0489207182889221,0.7194223277782666
5D,total,centroid_nm,393.5262580964937,0.0538815889892716,0.7483554026287729
5E,total,centroid_nm,394.1375451608516,0.0428854729746887,0.5428540882871999
5F,total,centroid_nm,393.6349608229542,0.0664423982334705,0.9770940916686844
5I,total,centroid_nm,390.1207839770045,0.0292791313881197,0.5048126101399952
6C,total,centroid_nm,395.8598952182761,0.0403329319457299,0.5450396208882419
6D,total,centroid_nm,394.1575095473249,0.0676681947728011,0.9530731658141
6F,total,centroid_nm,384.3858100083117,0.0092986477970318,0.1207616597017118
6H,total,centroid_nm,386.13419267618576,0.0071571091371425,0.1555893290683165
6J,total,centroid_nm,383.61156504049256,0.0,0.0
1D,total,fwhm_nm,159.0,0.0596860961313957,0.9947682688565952
1F,total,fwhm_nm,,0.0776043573092569,0.8255782692474143
1G,total,fwhm_nm,,0.0585900898138766,0.723334442146625
1I,total,fwhm_nm,,0.0293800793384175,0.3970280991678045
1J,total,fwhm_nm,,0.0756142405748144,0.94517800718518
2B,total,fwhm_nm,,0.1010314923462272,1.2628936543278404
2E,total,fwhm_nm,,0.0568523429551786,0.7787992185640907
2G,total,fwhm_nm,,0.0399507718481739,0.4932194055330111
