sample_id,sample_category,spectrum_state,auc_320_480,abs_max,lambda_max_nm,centroid_nm,fwhm_nm,abs_384_nm,abs_400_nm,ratio_abs_384_400,auc_320_380,auc_380_440,auc_ratio_320_380_over_380_440,second_derivative_384,second_derivative_400
3E,sample,reduced,3862970.0,33070.0,320.9,391.62975051835997,,26188.0,25137.999999999996,1.0417694327313232,1705820.0,1407540.0,1.2119158247722979,17.74999999999949,-11.499999999999773
3E,sample,total,2854270.0,22360.0,320.9,397.4089709275817,,17924.0,17917.0,1.0003906904057598,1126770.0,1044740.0,1.0785171430212301,16.999999999999318,-11.74999999999983
3H,sample,oxidized,1268453.5,10010.0,320.9,396.56058723672396,,8830.0,9166.300000000001,0.963311259723116,480739.0,531475.5,0.9045365214388998,-17.974999999999767,-12.14999999999975
3H,sample,reduced,4060935.0,41090.0,320.9,386.48752651966555,,30852.0,28857.999999999996,1.0690969575161136,1929955.0,1537305.0,1.255414507856281,-13.999999999999773,-20.499999999999545
3H,sample,total,2636417.5,25570.0,320.9,388.52504537465046,,19637.0,18758.999999999996,1.0468042006503546,1202255.0,1018010.0,1.1809854520093124,-18.999999999999773,-18.249999999999602
4A,sample,oxidized,1900551.0,15340.0,444.9,410.03030705263063,,10830.000000000002,12660.000000000002,0.8554502369668247,518616.0,798195.0,0.6497359667750362,9.24999999999983,-19.99999999999943
4A,sample,reduced,3184705.0,32810.0,320.9,388.5852309227555,,20808.0,20249.999999999996,1.0275555555555558,1488850.0,1130195.0,1.3173390432624459,10.999999999999659,-17.74999999999949
4A,sample,total,2609930.0,21410.0,320.9,395.84334953803284,,16304.0,16850.0,0.9675964391691395,1048555.0,982970.0,1.0667212631107765,13.499999999999659,-17.74999999999949
4B,sample,oxidized,3317645.0,27850.0,387.9,397.37516568217836,159.0,27648.0,27473.0,1.0063698904378844,1209140.0,1487470.0,0.812883621182276,-8.25000000000017,-3.5000000000002274
4B,sample,reduced,3018050.0,31230.0,321.9,385.02549590782445,,20386.0,19149.999999999996,1.0645430809399479,1510480.0,1041845.0,1.449812592084235,13.499999999999659,3.749999999999716
4B,sample,total,3031085.0,23400.0,320.9,391.1350329902522,,22561.0,21863.0,1.03192608516672,1317145.0,1189745.0,1.1070817696229023,1.4999999999997726,1.2499999999997158
4F,sample,oxidized,4339335.0,34200.0,385.9,398.539027747508,159.0,34124.0,33265.0,1.0258229370208929,1590920.0,1836865.0,0.8661061101387418,-13.25000000000017,-15.250000000000057
4F,sample,reduced,3193745.0,33230.0,320.9,388.5639311138052,,19788.999999999996,18480.999999999996,1.0707753909420485,1532765.0,1050850.0,1.4585954227530096,-1.9999999999998863,-5.0
4F,sample,total,3450800.0,25530.0,320.9,394.6296556094891,,23897.0,23040.999999999996,1.0371511653140055,1430455.0,1298600.0,1.1015362698290467,-2.750000000000057,-7.5
4G,sample,oxidized,4210340.0,35820.0,385.9,397.4552157107645,159.0,35717.0,34448.99999999999,1.0368080350663302,1549025.0,1857450.0,0.833952461708256,-7.000000000000455,-20.250000000000057
4G,sample,reduced,2720375.0,26720.0,320.9,388.66272343594835,,17336.0,16404.0,1.0568154108753962,1289205.0,922195.0,1.39797439803946,11.249999999999716,3.249999999999602
4G,sample,total,3223935.0,24110.0,384.9,394.31714514909834,,24101.0,23138.999999999996,1.0415748303729635,1319715.0,1273010.0,1.0366886355959497,1.4999999999997726,-8.500000000000227
4H,sample,oxidized,1676970.5,13010.0,446.9,407.86712960877696,,10185.000000000002,11004.0,0.9255725190839696,499641.0,671874.0,0.7436528277623483,-2.5,-9.24999999999983
4H,sample,reduced,3397105.0,37440.0,320.9,386.36911952957405,,21753.0,20688.999999999996,1.0514282952293492,1668585.0,1147955.0,1.4535282306362183,0.5000000000001137,-6.249999999999716
4H,sample,total,2519395.0,23910.0,320.9,392.60801866712916,,15679.0,15486.0,1.0124628696887512,1099495.0,888250.0,1.2378215592457078,0.25000000000005684,-8.749999999999716
5B,sample,oxidized,2026423.0,14320.0,445.9,404.3660524885884,,13308.000000000002,13901.0,0.95734119847493,659623.0,811085.0,0.8132600159046216,7.999999999999545,0.0
5B,sample,reduced,3821170.0,35410.0,320.9,390.22185375365615,,26046.0,24896.999999999996,1.0461501385709122,1734050.0,1371965.0,1.263917082432861,6.999999999999886,-1.9999999999998863
5B,sample,total,2884810.0,23830.0,320.9,394.81567277523874,,19311.0,18993.0,1.0167430105828463,1191730.0,1067845.0,1.116014028253164,6.999999999999886,-1.7499999999998295
5D,sample,oxidized,2794345.0,22230.0,386.9,399.0368903231781,159.0,22116.0,21742.0,1.017201729371723,1002335.0,1200515.0,0.8349208464700566,-3.2500000000001705,-9.749999999999943
5D,sample,reduced,3367840.0,33850.0,320.9,389.1409971073978,,21665.0,20442.0,1.0598278054984835,1579515.0,1150540.0,1.372846663305926,17.999999999999545,-0.7500000000001705
5D,sample,total,2947865.0,23430.0,320.9,393.5262580964937,,20600.0,19834.0,1.0386205505697288,1243260.0,1109385.0,1.1206749685636637,8.499999999999659,-3.2500000000001705
5E,sample,oxidized,2024270.0,15560.0,472.9,407.3447877111291,,12307.000000000002,13144.0,0.9363207547169813,616155.0,802005.0,0.7682682776291918,5.999999999999659,10.0
5E,sample,reduced,3330025.0,35150.0,320.9,387.6271640206591,,21943.0,20697.999999999996,1.0601507392018554,1597520.0,1148720.0,1.3906957309004806,4.2499999999998295,5.250000000000057
5E,sample,total,2702455.0,23900.0,320.9,394.13754516085163,,17258.0,16925.0,1.019675036927622,1142565.0,972090.0,1.1753695645464926,1.9999999999998863,5.500000000000114
5F,sample,oxidized,2218477.0,16270.0,397.9,401.97198795005085,159.0,16076.000000000002,16237.0,0.9900843751924617,754982.0,924755.0,0.816412995874583,6.7499999999998295,-12.5
5F,sample,reduced,4821300.0,43960.0,320.9,390.60728178749395,,32637.0,31375.999999999996,1.0401899541050486,2166790.0,1746250.0,1.240824624194703,8.499999999999659,-14.499999999999886
5F,sample,total,3576105.0,28300.0,320.9,393.6349608229542,,24601.0,23940.999999999996,1.0275677707698092,1505830.0,1341770.0,1.122271328170998,5.999999999999659,-10.0
5I,sample,oxidized,1597598.0,12520.0,384.9,398.48856304711364,159.0,12493.0,12167.0,1.0267937864716035,586563.5,671159.0,0.873956096841434,-10.75000000000017,10.749999999999602
5I,sample,reduced,2365792.0,26140.0,320.9,385.1502368184361,,15326.0,14340.999999999998,1.068684192176278,1189870.0,790940.0,1.5043745416845777,3.249999999999602,-2.249999999999943
