sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail
Youssef Pig 29_09_33 3A,3A,reduced,3885.0,0.06516035490537513,0.0016016737690642245,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.041868782903832294,0.09473627335172796,0.04866025679877663,0.006791473894944333,0.1395692160653595,0.005012114708404554,True
Youssef Pig 29_09_33 3A,3A,total,8024.0,0.041868782903832294,0.003972296050506145,False,Yousseff Scyt 29_09_25.txt,free,True,0.041868782903832294,0.09473627335172796,0.04866025679877663,0.006791473894944333,0.1395692160653595,0.005012114708404554,True
Youssef Pig 29_09_34 3C,3C,oxidized,8823.0,0.0812895164095494,0.005675344822617736,False,Yousseff Scyt 29_09_25.txt,free,True,0.07984684391944401,0.15843796607966615,0.08030227402153124,0.0004554301020872342,0.005671447136915711,0.005012114708404554,False
Youssef Pig 29_09_34 3C,3C,reduced,4468.0,0.07714844967011675,0.0015879588406900018,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.07984684391944401,0.15843796607966615,0.08030227402153124,0.0004554301020872342,0.005671447136915711,0.005012114708404554,False
Youssef Pig 29_09_34 3C,3C,total,13291.0,0.07984684391944401,0.0037370299574515094,False,Yousseff Scyt 29_09_25.txt,free,True,0.07984684391944401,0.15843796607966615,0.08030227402153124,0.0004554301020872342,0.005671447136915711,0.005012114708404554,False
Youssef Pig 29_09_35 3D,3D,oxidized,8164.0,0.07401384154666585,0.005679831579888814,False,Yousseff Scyt 29_09_25.txt,free,True,0.08666083056454617,0.18414497389713516,0.0930715043083913,0.00641067374384513,0.06887901717590639,0.005012114708404554,True
Youssef Pig 29_09_35 3D,3D,reduced,6072.0,0.11013113235046931,0.0016601396396681083,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.08666083056454617,0.18414497389713516,0.0930715043083913,0.00641067374384513,0.06887901717590639,0.005012114708404554,True
Youssef Pig 29_09_35 3D,3D,total,14236.0,0.08666083056454617,0.003747877331505257,False,Yousseff Scyt 29_09_25.txt,free,True,0.08666083056454617,0.18414497389713516,0.0930715043083913,0.00641067374384513,0.06887901717590639,0.005012114708404554,True
Youssef Pig 29_09_36 3E,3E,oxidized,1990.0,0.005849931678011785,0.006976293352540839,False,Yousseff Scyt 29_09_25.txt,free,True,0.04400311099584313,0.12128625862419865,0.06184821233464186,0.017845101338798734,0.288530592319214,0.005012114708404554,True
Youssef Pig 29_09_36 3E,3E,reduced,6330.0,0.11543632694618686,0.001685931051682521,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.04400311099584313,0.12128625862419865,0.06184821233464186,0.017845101338798734,0.288530592319214,0.005012114708404554,True
Youssef Pig 29_09_36 3E,3E,total,8320.0,0.04400311099584313,0.0039465538336526705,False,Yousseff Scyt 29_09_25.txt,free,True,0.04400311099584313,0.12128625862419865,0.06184821233464186,0.017845101338798734,0.288530592319214,0.005012114708404554,True
Youssef Pig 29_09_37 3H,3H,oxidized,1644.0,0.0020299263630532,0.0071021194281851085,False,Yousseff Scyt 29_09_25.txt,free,True,0.047009917801142165,0.13315564662913348,0.0677439956897204,0.02073407788857823,0.30606517489083473,0.005012114708404554,True
Youssef Pig 29_09_37 3H,3H,reduced,7093.0,0.13112572026608027,0.0017822393273519285,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.047009917801142165,0.13315564662913348,0.0677439956897204,0.02073407788857823,0.30606517489083473,0.005012114708404554,True
Youssef Pig 29_09_37 3H,3H,total,8737.0,0.047009917801142165,0.003912633692592473,False,Yousseff Scyt 29_09_25.txt,free,True,0.047009917801142165,0.13315564662913348,0.0677439956897204,0.02073407788857823,0.30606517489083473,0.005012114708404554,True
Youssef Pig 29_09_38 4A,4A,oxidized,1832.0,0.004105536187365956,0.007033233360894789,False,Yousseff Scyt 29_09_25.txt,free,True,0.03640317245199373,0.10111762143679728,0.05183001128041222,0.015426838828418492,0.29764297647854565,0.005012114708404554,True
Youssef Pig 29_09_38 4A,4A,reduced,5434.0,0.09701208524943132,0.0016125985206655892,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.03640317245199373,0.10111762143679728,0.05183001128041222,0.015426838828418492,0.29764297647854565,0.005012114708404554,True
Youssef Pig 29_09_38 4A,4A,total,7266.0,0.03640317245199373,0.0040443160561343516,False,Yousseff Scyt 29_09_25.txt,free,True,0.03640317245199373,0.10111762143679728,0.05183001128041222,0.015426838828418492,0.29764297647854565,0.005012114708404554,True
Youssef Pig 29_09_39 4B,4B,oxidized,6123.0,0.051480226379525755,0.005873606999393683,False,Yousseff Scyt 29_09_25.txt,free,True,0.06154642264402678,0.1319598447492791,0.0671500148697922,0.005603592225765425,0.0834488605345973,0.005012114708404554,True
Youssef Pig 29_09_39 4B,4B,reduced,4630.0,0.08047961836975336,0.0015879749991845776,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.06154642264402678,0.1319598447492791,0.0671500148697922,0.005603592225765425,0.0834488605345973,0.005012114708404554,True
