sample_name,sample_id,form,area,conc_mg_ml,conc_se_mg_ml,loq_flag,batch_id,intercept_mode,calibration_qc_pass,total_conc_observed,sum_parts_conc,predicted_total_conc,total_vs_parts_abs_diff,total_vs_parts_rel_diff,total_vs_parts_allowed_abs_diff,total_vs_parts_fail,p_uva_mw_cm2,p_uvb_mw_cm2,amount_mg_per_gDW,z_conc_mg_ml,z_amount_mg_per_gDW
Youssef Pig 29_09_32 2J,2J,total,11237.0,0.0650363374971796,0.0037703568272575,False,Yousseff Scyt 29_09_25.txt,free,True,0.0650363374971796,0.1831151826280258,0.0925599845719823,0.0275236470748027,0.2973601087130481,0.0050121147084045,True,2.488,0.768,1.0005590384181482,1.4093509906943233,1.6473655447198376
Youssef Pig 29_09_33 3A,3A,oxidized,4139.0,0.0295759184463528,0.0063000852657734,False,Yousseff Scyt 29_09_25.txt,free,True,0.0418687829038322,0.0947362733517279,0.0486602567987766,0.0067914738949443,0.1395692160653595,0.0050121147084045,True,1.692,0.584,0.6878120568919264,0.3882134904166305,1.033890465204873
Youssef Pig 29_09_33 3A,3A,reduced,3885.0,0.0651603549053751,0.0016016737690642,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0418687829038322,0.0947362733517279,0.0486602567987766,0.0067914738949443,0.1395692160653595,0.0050121147084045,True,1.692,0.584,1.5153570908226774,0.7327519205439088,2.573349764548935
Youssef Pig 29_09_33 3A,3A,total,8024.0,0.0418687829038322,0.0039722960505061,False,Yousseff Scyt 29_09_25.txt,free,True,0.0418687829038322,0.0947362733517279,0.0486602567987766,0.0067914738949443,0.1395692160653595,0.0050121147084045,True,1.692,0.584,0.9736926256705184,0.5960181241385549,1.578818055383957
Youssef Pig 29_09_34 3C,3C,oxidized,8823.0,0.0812895164095494,0.0056753448226177,False,Yousseff Scyt 29_09_25.txt,free,True,0.079846843919444,0.1584379660796661,0.0803022740215312,0.0004554301020872,0.0056714471369157,0.0050121147084045,False,1.692,0.584,1.0985069785074244,2.1064051620760087,2.0031015720933243
Youssef Pig 29_09_34 3C,3C,reduced,4468.0,0.0771484496701167,0.00158795884069,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.079846843919444,0.1584379660796661,0.0803022740215312,0.0004554301020872,0.0056714471369157,0.0050121147084045,False,1.692,0.584,1.04254661716374,1.2402291950474709,1.061392583076574
Youssef Pig 29_09_34 3C,3C,total,13291.0,0.079846843919444,0.0037370299574515,False,Yousseff Scyt 29_09_25.txt,free,True,0.079846843919444,0.1584379660796661,0.0803022740215312,0.0004554301020872,0.0056714471369157,0.0050121147084045,False,1.692,0.584,1.0790114043168109,1.9292967447887974,1.847530440767882
Youssef Pig 29_09_35 3D,3D,oxidized,8164.0,0.0740138415466658,0.0056798315798888,False,Yousseff Scyt 29_09_25.txt,free,True,0.0866608305645461,0.1841449738971351,0.0930715043083913,0.0064106737438451,0.0688790171759063,0.0050121147084045,True,1.692,0.584,1.072664370241534,1.8646698265457917,1.9421148356035125
Youssef Pig 29_09_35 3D,3D,reduced,6072.0,0.1101311323504693,0.0016601396396681,False,Yousseff Red Scyt 29_09_25.txt,free,True,0.0866608305645461,0.1841449738971351,0.0930715043083913,0.0064106737438451,0.0688790171759063,0.0050121147084045,True,1.692,0.584,1.5961033673981058,2.636444543767393,2.831560865078486
Youssef Pig 29_09_35 3D,3D,total,14236.0,0.0866608305645461,0.0037478773315052,False,Yousseff Scyt 29_09_25.txt,free,True,0.0866608305645461,0.1841449738971351,0.0930715043083913,0.0064106737438451,0.0688790171759063,0.0050121147084045,True,1.692,0.584,1.255954066152843,2.1685122937757857,2.2989853982719413
